Xavier Institute of Engineering,,,,,,,,,,,,
"Mahim Causeway, Opp. Raheja Hospital, Mumbai - 400 016,Mumbai,400 016",,,,,,,,,,,,
Accession Register,,,,,,,,,,,,
 Accession number from 000001 to 013194,,,,,,,,,,,,
,,,,,,,,,,,,
Date,Accession Number,Author,Title-Edition-ISBN,Publisher Details,Year,Pages,ISBN,Supplier,Call Number,Price,Bill No. & date,
,003152,,,,,,,,,,,
,003153,,,,,,,,,,,
,003154,,,,,,,,,,,
,003155,,,,,,,,,,,
,003156,,,,,,,,,,,
,003157,,,,,,,,,,,
,003158,,,,,,,,,,,
,003159,,,,,,,,,,,
,003160,,,,,,,,,,,
03-Mar-05,003161,"Jangam, U. B.; Patil, K. P. & Kumthekar, Nalini",Applied mathematics - I .-1st,"Nandu Printers and Publishers Private Limited, Mumbai",1998,260 p.,,Union Book Stall,"510JAN",120.00,"B:T-325/0503-Mar-2011",
23-Apr-05,003162,"Wartikar, P. N. & Wartikar, J. N.",Engineering mathematics - I .-81-85825-64-5,"Pune Vidyarthi Griha Prakashan, Pune",1995,,81-85825-64-5,Union Book Stall,"510WAR","1,200.00","B:T-12/200523-Apr-2005",
,003163,,,,,,,,,,,
,003164,,,,,,,,,,,
,003165,,,,,,,,,,,
,003166,,,,,,,,,,,
,003167,,,,,,,,,,,
,003168,,,,,,,,,,,
,003169,,,,,,,,,,,
,003170,,,,,,,,,,,
,003171,,,,,,,,,,,
21-Apr-05,003172,"Wartikar, P. N. & Wartikar, J. N.",Engineering mathematics - I .-81-85825-64-5,"Pune Vidyarthi Griha Prakashan, Pune",1995,,81-85825-64-5,Union Book Stall,"510WAR",120.00,"B:T-08/0521-Apr-2005",
21-Apr-05,003173,"Dara, S. S.",A textbook of engineering chemistry .-10th .-9788121903592,"S. Chand & Company Ltd., Mumbai",1986,"xvi, 762 p.",9788121903592,Union Book Stall,"540DAR",750.00,"B:T- 6/0521-Apr-2005",
,003174,,,,,,,,,,,
,003175,,,,,,,,,,,
03-Mar-05,003176,"Dara, S. S.",A textbook of engineering chemistry .-10th .-9788121903592,"S. Chand & Company Ltd., Mumbai",1986,"xvi, 762 p.",9788121903592,Union Book Stall,"540DAR",250.00,"B:T-325/0503-Mar-2005",
21-Apr-05,003177,"Beiser, Arthur",Concept of modern physics .-6th .-9780070495395,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xiii, 542 p.",9780070495395,Union Book Stall,"621BEI","1,375.00","B:T-5/0521-Apr-2005",
,003178,,,,,,,,,,,
,003179,,,,,,,,,,,
,003180,,,,,,,,,,,
,003181,,,,,,,,,,,
03-Mar-05,003182,"Beiser, Arthur",Concept of modern physics .-6th .-9780070495395,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xiii, 542 p.",9780070495395,Union Book Stall,"621BEI",275.00,"B:T-326/0503-Mar-2005",
21-Apr-05,003183,"Sharma, B. K.",Enviromental chemistry .-8th .-8182830125,"Goel Publishing House, Meerut",2005,,8182830125,Union Book Stall,"577.14SHA","2,050.00","B:T-6/0521-Apr-2005",
,003184,,,,,,,,,,,
,003185,,,,,,,,,,,
,003186,,,,,,,,,,,
,003187,,,,,,,,,,,
03-Mar-05,003188,"Sharma, B. K.",Enviromental chemistry .-8th .-8182830125,"Goel Publishing House, Meerut",2005,,8182830125,Union Book Stall,"577.14SHA",410.00,"B:T-325/0503-Mar-2005",
03-Mar-05,003189,"Jain, P. C. & Jain, Monika",Engineering chemistry : a text-book for Engineering degree students for the Indian Universities .-15th .-9788187433170,"Dhanpat Rai Publications, New Delhi",2005,"xii, 1288 p.",9788187433170,Union Book Stall,"540JAI",195.00,"B:T-325/0503-Mar-2005",
03-Mar-05,003190,"Uppal, M. M. & Bhatia, S. C.",Engineering chemistry .-6th,"Khanna pub, New Delhi",2002,"xxiv, 1444 p.",,Union Book Stall,"540UPP",195.00,"B:T-325/0503-Mar-2005",
03-Mar-05,003191,"Gaur, R. K. & Gupta, S. L.",Engineering physics .-8th,"Dhanpat Rai Publications, New Delhi",2001,"xxxiii,",,Union Book Stall,"621GAU",280.00,"B:T-325/0503-Mar-2005",
21-Apr-05,003192,"Jain, P. C. & Jain, Monika",Engineering chemistry : a text-book for Engineering degree students for the Indian Universities .-15th .-9788187433170,"Dhanpat Rai Publications, New Delhi",2005,"xii, 1288 p.",9788187433170,Union Book Stall,"540JAI","2,200.00","B:T-6/0521-Apr-2005",
,003193,,,,,,,,,,,
,003194,,,,,,,,,,,
,003195,,,,,,,,,,,
,003196,,,,,,,,,,,
,003197,,,,,,,,,,,
,003198,,,,,,,,,,,
,003199,,,,,,,,,,,
21-Apr-05,003200,"Sawhney, A. K.",A course in electrical and electronic measurements and instrumentation .-17th .-9788177000160,"Dhanpat Rai Publications, Delhi",2000,1558 p.,9788177000160,Union Book Stall,"621.374 5SAW","1,450.00","B:T-6/0521-Apr-2005",
,003201,,,,,,,,,,,
,003202,,,,,,,,,,,
,003203,,,,,,,,,,,
,003204,,,,,,,,,,,
03-Mar-05,003205,"Sawhney, A. K.",A course in electrical and electronic measurements and instrumentation .-17th .-9788177000160,"Dhanpat Rai Publications, Delhi",2000,1558 p.,9788177000160,Union Book Stall,"621.374 5SAW",290.00,"B:T-325/0503-Mar-2005",
21-Apr-05,003206,"Mottershead, Allen",Electronic devices and circuits : an introduction .-1st .-9780876202654,"Prentice Hall of India, New Delhi",1973,641 p.,9780876202654,Union Book Stall,"621.381 33MOT","1,250.00","B:T-5/0521-Apr-2005",
,003207,,,,,,,,,,,
,003208,,,,,,,,,,,
,003209,,,,,,,,,,,
,003210,,,,,,,,,,,
03-Mar-05,003211,"Mottershead, Allen",Electronic devices and circuits : an introduction .-1st .-9780876202654,"Prentice Hall of India, New Delhi",1973,641 p.,9780876202654,Union Book Stall,"621.381 33MOT",250.00,"B:T-326/0503-Mar-2005",
21-Apr-05,003212,"Shah, M. B. & Rana, B. C.",Engineering drawing .-1st .-9788129706263,"Pearson Education, Delhi",2005,"xiv, 567 p.",9788129706263,Union Book Stall,"604.2SHA","1,000.00","B:T-5/0521-Apr-2005",
,003213,,,,,,,,,,,
,003214,,,,,,,,,,,
,003215,,,,,,,,,,,
23-Apr-05,003216,"Shah, M. B. & Rana, B. C.",Engineering drawing .-1st .-9788129706263,"Pearson Education, Delhi",2005,"xiv, 567 p.",9788129706263,Union Book Stall,"604.2SHA",250.00,"B:T-12/200523-Apr-2005",
21-Apr-05,003217,"Phakatkar, H. G.",Engineering drawing .-4th,"Nirali Prakashan, Pune",1997,625 p.,,Union Book Stall,"604.2PHA",250.00,"B:T-08/0521-Apr-2005",
22-Apr-05,003218,"Bhatt, N. D. &  Panchal, V. M.",Machine drawing .-39th,"Charoter Publishing House, Anand",2004,"xvi, 350 p.",,Union Book Stall,"621.81BHA",950.00,"B:T-10/200522-Apr-2005",
,003219,,,,,,,,,,,
,003220,,,,,,,,,,,
,003221,,,,,,,,,,,
,003222,,,,,,,,,,,
,003223,,,,,,,,,,,
,003224,,,,,,,,,,,
,003225,,,,,,,,,,,
,003226,,,,,,,,,,,
,003227,,,,,,,,,,,
03-Mar-05,003228,"Bhatt, N. D. &  Panchal, V. M.",Machine drawing .-39th,"Charoter Publishing House, Anand",2004,"xvi, 350 p.",,Union Book Stall,"621.81BHA",95.00,"B:T-325/0503-Mar-2005",
21-Apr-05,003229,"Bhatt, N. D. & Panchal, V. M.",Engineering drawing : plain and solid geometry .-47th .-81-85594-31-7,"Charoter Publishing House, Anand",2004,"xvii, 600 p.",81-85594-31-7,Union Book Stall,"604.2BHA","1,250.00","B:T-6/0521-Apr-2005",
,003230,,,,,,,,,,,
,003231,,,,,,,,,,,
,003232,,,,,,,,,,,
,003233,,,,,,,,,,,
,003234,,,,,,,,,,,
,003235,,,,,,,,,,,
,003236,,,,,,,,,,,
,003237,,,,,,,,,,,
,003238,,,,,,,,,,,
03-Mar-05,003239,"Bhatt, N. D. & Panchal, V. M.",Engineering drawing : plain and solid geometry .-47th .-81-85594-31-7,"Charoter Publishing House, Anand",2004,"xvii, 600 p.",81-85594-31-7,Union Book Stall,"604.2BHA",125.00,"B:T-325/0503-Mar-2005",
21-Apr-05,003240,"Junnarkar, S. B. & Shah, H. J.",Applied mechanics .-16th,"Charoter Publishing House, Anand",2001,"xx, 776 p.",,Union Book Stall,"620.1JUN","1,000.00","B:T-6/0521-Apr-2005",
,003241,,,,,,,,,,,
,003242,,,,,,,,,,,
,003243,,,,,,,,,,,
,003244,,,,,,,,,,,
03-Mar-05,003245,"Junnarkar, S. B. & Shah, H. J.",Applied mechanics .-16th,"Charoter Publishing House, Anand",2001,"xx, 776 p.",,Union Book Stall,"620.1JUN",200.00,"B:T-325/0503-Mar-2005",
05-Mar-05,003246,"Rajsekaran, S. & Sankarasubramanian, G.",Engineering mechanics : statics and dynamics .-2nd .-81-259-1295-9,"Vikas Publishing House Pvt. Ltd., New Delhi",2005,,81-259-1295-9,Union Book Stall,"620.1RAJ",295.00,"B:221405-Mar-2005",
21-Apr-05,003247,"Walavalkar, Y. N.",Engineering mechanics : statics and dynamics .-81-7660-003-2,"Everest Publishing house, Mumbai",1999,580 p.,81-7660-003-2,Union Book Stall,"620.1WAL",308.00,"B:T-08/0521-Apr-2005",
21-Feb-05,003248,"Hibbeler, R. C.",Engineering mechanics dynamics .-1st .-9788178081755,"Pearson Education, New Delhi",1997,"xv, 624 p.",9788178081755,Union Book Stall,"620.1HIB","1,475.00","B:T-5/200521-Feb-2005",
,003249,,,,,,,,,,,
,003250,,,,,,,,,,,
,003251,,,,,,,,,,,
,003252,,,,,,,,,,,
09-Feb-11,003253,"Hibbeler, R. C.",Engineering mechanics statics .-1st .-81-7808-174-1,"Pearson Education, New Delhi",1997,"xv, 574 p.",81-7808-174-1,Union Book Stall,"620.1HIB","1,475.00","B:T-35/200516-May-2005",
,003254,,,,,,,,,,,
,003255,,,,,,,,,,,
,003256,,,,,,,,,,,
,003257,,,,,,,,,,,
03-Mar-05,003258,"Kothari, D. P. & Nagrath, I. J.",Electric machines .-3rd .-9780070583771,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1985,"xvii, 834 p.",9780070583771,Union Book Stall,"621.310 42KOT",275.00,"B:T-324/0503-Mar-2005",
21-Apr-05,003259,"Fitzgerald, A. E.; Kingsley, Charles Jr. & Umans, Stephen D.",Electric machinery .-6th .-9780070495098,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xv, 688 p.",9780070495098,Union Book Stall,"621.310 42FIT",295.00,"B:T-08/0521-Apr-2005",
21-Apr-05,003260,"Rajsekaran, S. & Sankarasubramanian, G.",Engineering mechanics : statics and dynamics .-3rd .-81-259-1864-7,"Vikas Publishing House Pvt. Ltd., New Delhi",2005,,81-259-1864-7,Union Book Stall,"620.1RAJ","1,625.00","B:T-6/0521-Apr-2005",
,003261,,,,,,,,,,,
,003262,,,,,,,,,,,
,003263,,,,,,,,,,,
,003264,,,,,,,,,,,
21-Apr-05,003265,"Del Toro, Vincent",Electical engineering fundamentals .-2nd .-9788120305991,"Pearson Education, New Delhi",1996,"xvii, 921 p.",9788120305991,Union Book Stall,"621.3TOR","1,625.00","B:T-5/0521-Apr-2005",
,003266,,,,,,,,,,,
,003267,,,,,,,,,,,
,003268,,,,,,,,,,,
,003269,,,,,,,,,,,
03-Mar-05,003270,"Del Toro, Vincent",Electical engineering fundamentals .-2nd .-9788120305991,"Pearson Education, New Delhi",1996,"xvii, 921 p.",9788120305991,Union Book Stall,"621.3TOR",325.00,"B:T-324/200503-Mar-2005",
21-Apr-05,003271,"Tayal, A. K.",Engineering mechanics statics and dynamics .-12th .-81-88114-01-4,"Umesh Publication, Delhi",2004,"x, 688 p.",81-88114-01-4,Union Book Stall,"620.1TAY",725.00,"B:T-6/0521-Apr-2005",
,003272,,,,,,,,,,,
,003273,,,,,,,,,,,
,003274,,,,,,,,,,,
,003275,,,,,,,,,,,
03-Mar-05,003276,"Tayal, A. K.",Engineering mechanics statics and dynamics .-12th .-81-88114-01-4,"Umesh Publication, Delhi",2004,"x, 688 p.",81-88114-01-4,Union Book Stall,"620.1TAY",145.00,"B:T-325/0503-Mar-2005",
11-Jan-17,003277,"Beer, Ferdinand Pierre; Johnston, E. Russell; Eisenberg, Elliot R. & Clausen, William E.",Vector mechanics for engineers : statics and dynamics .-7th .-9780070588288,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2004,"xxx, 1322 p.",9780070588288,Complimentary Copy,"620.1BEE",0.00,,
03-Mar-05,003278,"Meriam, J. L. & Kraige, L. G.",Engineering mechanics dynamics .-5th .-9971514338,"John Wiley & Sons, Ltd., Singapore",2002,"xxi, 710 p.",9971514338,Union Book Stall,"620.1MER",346.00,"B:T-326/0503-Mar-2005",
03-Mar-05,003279,"Kraige, L. G. & Meriam, J. L.",Engineering mechanics statics .-5th .-9971514230,"John Wiley & Sons, Ltd., Singapore",2004,"xviii, 494 p.",9971514230,Union Book Stall,"620.1KRA",345.00,"B:T-324/200503-Mar-2005",
21-Apr-05,003280,"Nelson, E. W.; Best, C. L. & Mclean, W. G.",Schaum's outline of theory and problems of engineering mechanics .-5th .-9780070586123,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2004,"viii, 518 p.",9780070586123,Union Book Stall,"620.1NEL","1,250.00","B:T-5/0521-Apr-2005",
,003281,,,,,,,,,,,
,003282,,,,,,,,,,,
,003283,,,,,,,,,,,
,003284,,,,,,,,,,,
03-Mar-05,003285,"Nelson, E. W.; Best, C. L. & Mclean, W. G.",Schaum's outline of theory and problems of engineering mechanics .-5th .-9780070586123,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2004,"viii, 518 p.",9780070586123,Union Book Stall,"620.1NEL",250.00,"B:T-324/0503-Mar-2005",
21-Apr-05,003286,"Freeman, Sarah",Written communication in english .-1st .-9788125004264,"Orient Longman Pvt. Ltd., Hyderabad",1977,"viii, 224 p.",9788125004264,Union Book Stall,"302.007FRE",400.00,"B:T-6/0521-Apr-2005",
,003287,,,,,,,,,,,
,003288,,,,,,,,,,,
,003289,,,,,,,,,,,
,003290,,,,,,,,,,,
22-Apr-05,003291,"Mohan, Krishna & Sharma, R. C.",Business correspondence and report writing .-3rd .-0-07-044555-9,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,"xviii, 431p",0-07-044555-9,Union Book Stall,"651.7MOH",875.00,"B:T-09/200522-Apr-2005",
,003292,,,,,,,,,,,
,003293,,,,,,,,,,,
,003294,,,,,,,,,,,
,003295,,,,,,,,,,,
03-Mar-05,003296,"Mohan, Krishna & Sharma, R. C.",Business correspondence and report writing .-3rd .-0-07-044555-9,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,"xviii, 431p",0-07-044555-9,Union Book Stall,"651.7MOH",175.00,"B:T-326/0503-Mar-2005",
03-Mar-05,003297,"Lesikar, Raymond Vincent & Flatley, Marie",Basic business communication : skills for empowering the internet generation .-10th .-0072880023,"Tata McGraw-Hill Publishing Company Limited, Delhi",2005,606 p.,0072880023,Union Book Stall,"651.74LES",350.00,"B:T-326/0503-Mar-2005",
21-Apr-05,003298,"Rai, Urmila & Rai, S. M.",Business communication .-7th,"Himalya Publishing House, Mumbai",2005,365 p.,,Union Book Stall,"651.7RAI",700.00,"B:T-6/0521-Apr-2005",
,003299,,,,,,,,,,,
,003300,,,,,,,,,,,
,003301,,,,,,,,,,,
,003302,,,,,,,,,,,
05-Mar-05,003303,"Rai, Urmila & Rai, S. M.",Business communication .-7th,"Himalya Publishing House, Mumbai",2005,365 p.,,Union Book Stall,"651.7RAI",140.00,"B:221405-Mar-2005",
22-Apr-05,003304,"Lesikar, Raymond Vincent & Flatley, Marie",Basic business communication : skills for empowering the internet generation .-10th .-0072880023,"Tata McGraw-Hill Publishing Company Limited, Delhi",2005,606 p.,0072880023,Union Book Stall,"651.74LES",975.00,"B:T-11/200522-Apr-2005",
,003305,,,,,,,,,,,
,003306,,,,,,,,,,,
22-Apr-05,003307,"Lesikar, Raymond Vincent & Flatley, Marie",Basic business communication : skills for empowering the internet generation .-10th .-0072880023,"Tata McGraw-Hill Publishing Company Limited, Delhi",2005,606 p.,0072880023,Union Book Stall,"651.74LES",650.00,"B:T-09/200522-Apr-2005",
,003308,,,,,,,,,,,
27-May-10,003309,"Cavicchi, Thomas J.",Digital signal processing .-2nd .-9971-51-430-3,"John Wiley & Sons, Ltd., New Delhi",2002,"xv, 793 p.",9971-51-430-3,Union Book Stall,"621.382 2CAV",365.00,"B:254027-May-2005",
27-May-05,003310,"Gulati, R. R.",Monochrome and colour television .-2nd .-9788122416077,"New Age International Publishers, New Delhi",1983,688 p.,9788122416077,Union Book Stall,"621.388GUL",275.00,"B:254127-May-2005",
27-May-05,003311,"Skolnik, Merrill I.",Introduction to radar systems .-3rd .-9780070445338,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2004,"xii, 772 p.",9780070445338,Union Book Stall,"621.384 8SKO",285.00,"B:254127-May-2005",
27-May-05,003312,"Chandra, Prasanna","Projects : planning, analysis, selection, financing, implementation and review .-5th","Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,,,Union Book Stall,"332.67CHA",325.00,"B:254027-May-2005",
27-May-05,003313,"Johnson, Curtis D.",Process control instrumentation technology .-7th .-81-203-2104-9,"Prentice Hall of India, New Delhi",2003,"x, 694 p.",81-203-2104-9,Union Book Stall,"629.895JOH",275.00,"B:253527-May-2005",
26-May-05,003314,"Ogata, Katsuhika",Modern control engineering .-4th .-9788178085791,"Prentice Hall of India, Delhi",2002,"xi, 964 p.",9788178085791,Union Book Stall,"629.831OGA",295.00,"B:253826-May-2005",
26-May-05,003315,"Athani, V. V.","Stepper motors : fundamentals, applications and design .-9788122410068","New Age International Publishers, India",1997,"ix, 201 p.",9788122410068,Union Book Stall,"621.46ATH",595.00,"B:253826-May-2005",
15-Jan-09,003316,"Valkenburg, Van",Network analysis .-3rd .-978-81-203-0156-6,"Prentice Hall of India, New Delhi",2006,"xv, 571 p.",978-81-203-0156-6,Union Book Stall,"621.319 2VAL",225.00,B:15-Jan-2009,
26-May-05,003317,"Couch, Leon W. II",Digital and analog communication systems .-Sixth Edition .-9788178083285,"Pearson Education, New Delhi",2001,"xxv, 758 p.",9788178083285,Union Book Stall,"621.382COU",365.00,"B:253626-May-2005",
27-May-05,003318,"Jordan, Edward C. & Balmain, Keith G.",Electromagnetic waves and radiating systems .-2nd .-9788120300545,"Prentice Hall of India, New Delhi",1968,"xiii, 753 p.",9788120300545,Union Book Stall,"621.34JOR",250.00,"B:254127-May-2005",
26-May-05,003319,"Veerarajan, T.","Probability, statistics and random processes .-1st .-9780070494824","Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xiii, 693 p.",9780070494824,Union Book Stall,"519.23VEE",215.00,"B:253526-May-2005",
26-May-05,003320,"Oliver, Bernard M. & Cage, John M.",Electronic measurements and instrumentation .-1st,"Mcgraw-Hill Internationals, Singapore",1975,"xviii, 729 p.",,Union Book Stall,"621.374OLI",947.00,"B:253726-May-2005",
26-May-05,003321,"Dekkar, A. J.",Electrical engineering materials .-9788120300804,"Prentice-Hall of India Private Limited, New Delhi",2004,"ix, 208 p.",9788120300804,Union Book Stall,"621.3DEK",95.00,"B:253726-May-2005",
26-May-05,003322,"Kraus, John D. & Fleisch, Daniel A.",Electromagnetics : with applications .-5th .-9780071164290,"McGraw-Hill Companies, Singapore",1999,"xix, 617 p.",9780071164290,Union Book Stall,"621.34KRA",323.00,"B:253526-May-2005",
26-May-05,003323,"Kothari, D. P. & Nagrath, I. J.",Electric machines .-3rd .-9780070583771,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1985,"xvii, 834 p.",9780070583771,Union Book Stall,"621.310 42KOT",275.00,"B:253726-May-2005",
26-May-05,003324,"Kalsi, H. S.",Electronic instrumentation .-2nd .-0-07-058370-6,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2004,"xvi, 801 p.",0-07-058370-6,Union Book Stall,"621.374KAL",215.00,"B:253726-May-2005",
26-May-05,003325,"Gopal, M.",Control systems : principles and design .-2nd .-9780070482890,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,"xvii, 971 p.",9780070482890,Union Book Stall,"629.8GOP",285.00,"B:253726-May-2005",
21-Apr-05,003326,"Huckin, Thomas N. & Olsen, Leslie A.",Technical writing and professional communication .-2nd .-9780071126427,"McGraw-Hill Companies, Singapore",1991,"xxii, 746 p.",9780071126427,Union Book Stall,"808.066 602 1HUC",920.00,"B:T-5/0521-Apr-2005",
16-May-05,003327,"Brown, Stephen & Vranesic, Zvonko",Fundamentals of digital logic with VHDL design .-1st .-9780071211246,"Tata McGraw-Hill Publishing Company Limited, Delhi",2003,"xx, 844 p.",9780071211246,Union Book Stall,"621.395BRO",375.00,B:16-May-2005,
26-May-05,003328,"Yarbrough, John M.",Digital logic : applications and design .-1st .-9788131500583,"Thomoson Learning, Singapore",2001,"xx, 698 p.",9788131500583,Union Book Stall,"621.395YAR",350.00,"B:253526-May-2005",
26-May-05,003329,"Gupta, S. C. & Kapoor, V. K.",Fundamentals of mathematical statistics .-11th,"S. Chand & Company Ltd., New Delhi",2002,,,Union Book Stall,"519.5GUP",265.00,"B:253926-May-2005",
26-May-05,003330,"Joshi, K. D.",Foundations of discrete mathematics .-1st .-9788122401202,"New Age International Publishers, New Delhi",1989,"xvi, 748 p.",9788122401202,Union Book Stall,"511.1JOS",275.00,"B:253726-May-2005",
26-May-05,003331,"Kuo, Benjamin C.",Digital control systems .-2nd .-0195120647,"Oxford University Press, New York",1992,"xx, 751 p.",0195120647,Union Book Stall,"629.8KUO",349.00,"B:253826-May-2011",
26-May-05,003332,"Helfrick, Albert D. & Cooper, William D.",Modern electronic instrumentation and measurement techniques .-1st .-9780135933855,"Prentice Hall of India, New Delhi",2008,"xii, 446 p.",9780135933855,Union Book Stall,"621.381 54HEL",195.00,"B:253526-May-2005",
26-May-05,003333,"Doebelin, Ernest O.",Measurement systems : application and design .-5th .-9780070582033,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2004,"xxxi, 1078 p.",9780070582033,Union Book Stall,"621.374DOE",350.00,"B:253526-May-2005",
26-May-05,003334,"Ayala, Kenneth J.","The 8051 microcontroller : architecture, programming and applications .-2nd .-9789812542618","Thomson Asia Pvt. Ltd., Singapore",1997,"xiv, 367 p.",9789812542618,Union Book Stall,"004.145AYA",300.00,"B:253626-May-2005",
27-May-07,003335,"Hamacher, Carl; Vranesic, Zvonko & Zaky, Safwat",Computer organization .-5th .-9780071204118,"McGraw-Hill Companies, Singapore",2002,"xx, 805 p.",9780071204118,Union Book Stall,"004.22HAM",254.00,"B:254227-May-2005",
27-May-05,003336,"Fabricius, Eugene D.",Introduction to VLSI design .-9780071007276,"Mcgraw-Hill Internationals, Singapore",1990,"xvii, 406 p.",9780071007276,Union Book Stall,"621.395FAB",275.00,"B:254227-May-2005",
27-May-05,003337,"Patterson, David A. & Hennessy, John L.",Computer organization and design .-3rd .-9788181475343,"Morgan Kaufman Publisher, San Francisco",2005,"xvii, 621 p.",9788181475343,Union Book Stall,"004.22PAT",395.00,"B:254027-May-2007",
27-May-05,003338,"Keiser, Gerd",Optical fiber communications .-3rd .-9780072360769,"McGraw-Hill Companies, Delhi",2000,"xxi, 602 p.",9780072360769,Union Book Stall,"621.382 75KEI",346.00,"B:254031-May-2005",
21-Apr-05,003339,"Ramamoorthy, M.",An introduction to thyristors and their applications .-2nd .-9780333256947,"Macmillan, London",1978,"x, 312 p.",9780333256947,Union Book Stall,"621.317RAM",125.00,"B:T-08/0521-Apr-2005",
22-Apr-05,003340,"Sugandhi, R. K. & Sugandhi, K. K.",Thyristors : theory and applications .-2nd,"New Age International Publishers, New Delhi",2005,316 p.,,Union Book Stall,"621.381 528 7SUG",740.00,"B:T-10/200522-Apr-2005",
,003341,,,,,,,,,,,
,003342,,,,,,,,,,,
,003343,,,,,,,,,,,
03-Mar-05,003344,"Sugandhi, R. K. & Sugandhi, K. K.",Thyristors : theory and applications .-2nd,"New Age International Publishers, New Delhi",2005,316 p.,,Union Book Stall,"621.381 528 7SUG",185.00,"B:T-326/0503-Mar-2005",
05-Mar-05,003345,Anna University,English for engineers and technologist .-2nd,,,,,Union Book Stall,"808ANN",80.00,"B:221405-Mar-2005",
15-Jan-09,003346,"Maurus, J.",Make the most of your time .-4th .-8171080928,"Better Yourself Books, Mumbai",2002,224 p.,8171080928,Pauline Sisters Bombay Society,"MAU",50.00,"B:15420-Apr-2005",
20-Apr-05,003347,"Lewis, Hedwing",How to Study .-3rd,"Better Yourself Books, Mumbai",,,,Pauline Sisters Bombay Society,"LEW",52.00,"B:15420-Apr-2005",
20-Apr-09,003348,"Singh, Amitabh",Don't let college hamper your education .-1st .-8171082538,"Better Yourself Books, Mumbai",,156 p.,8171082538,Pauline Sisters Bombay Society,"SIN",35.00,"B:15420-Apr-2005",
20-Apr-05,003349,"Wainwright, Gordon",Read faster recall more : use proven techniques for speed reading and maximum recall .-1st .-9788171085118,"Better Yourself Books, Mumbai",2001,130 p.,9788171085118,Pauline Sisters Bombay Society,"428.432WAI",50.00,"B:15420-Apr-2005",
20-Apr-05,003350,"Smith, Pauline",Writing an assignment .-9788171085415,"Better Yourself Books, Mumbai",2002,118 p.,9788171085415,Pauline Sisters Bombay Society,"808.042PAU",45.00,"B:15420-Apr-2005",
20-Apr-05,003351,"Maurus, J.",Th art of communicating effectively .-1st .-81-7108-345-5,"Better Yourself Books, Mumbai",1996,110 p.,81-7108-345-5,Pauline Sisters Bombay Society,"651.7MAU",40.00,"B:15620-Apr-2005",
20-Apr-05,003352,"Tucker, V.","Improve your memory, study and reading skills creatively .-8th .-81-7108-066-9","Better Yourself Books, Mumbai",,172 p.,81-7108-066-9,Pauline Sisters Bombay Society,"TUC",50.00,"B:15420-Apr-2005",
20-Apr-05,003353,"Ramet, Adele",Creative writing : how to develop successful writing skills for fiction and non-fiction publication .-1st .-9788171085002,"Better Yourself Books, New Delhi",2001,148 p.,9788171085002,Pauline Sisters Bombay Society,"808ADE",60.00,"B:15420-Apr-2005",
20-Apr-05,003354,"Marshall, Peter",How to study & learn : your practical guide to effective study skills .-1st .-9788171084951,"Better Yourself Books, Mumbai",1997,165 p.,9788171084951,Pauline Sisters Bombay Society,"371.302 812MAR",60.00,"B:15420-Apr-2005",
20-Apr-05,003355,"Chulani, Varkha",7 mantras for teenager success .-1st .-9788171764853,"Pauline Publications, Mumbai",2002,125 p.,9788171764853,Pauline Sisters Bombay Society,"158.108 35CHU",60.00,"B:15420-Apr-2005",
20-Apr-05,003356,"Kapadia, Mahesh",Increasing memory power : how good is your power of recall? .-1st .-9788179630037,"Sterling Publication, Mumbai",2000,96 p.,9788179630037,Pauline Sisters Bombay Society,"153.14KAP",60.00,"B:15420-Apr-2005",
20-Apr-05,003357,"Dhotel, Jean-Cloude",Who are you Ignatius of Loyola? .-1st,"Gujarat Satrling Prakashan, Gujrat",1991,118 p.,,Pauline Sisters Bombay Society,"255.53DHO",26.00,"B:15420-Apr-2005",
20-Apr-05,003358,"Kandathil, George ; Atthreya, N. H. & Kandathil, Candida",How to be alert and achieving .-3rd .-81-7108-278-5,"Better Yourself Books, Mumbai",2001,168 p.,81-7108-278-5,Pauline Sisters Bombay Society,"KAN",55.00,"B:15420-Apr-2005",
20-Apr-05,003359,"Mason, John L.",The impossible is possible : doing what others say can't be done .-1st .-9788171765652,"Pauline Publications, Mumbai",2004,191 p.,9788171765652,Pauline Sisters Bombay Society,"248.4MAS",75.00,"B:15420-Apr-2005",
